Campus,Account Amount,Bilingual Spending
15910999,256124422,680220.0
15911000,170337178,
15911001,23883785,277165.0
15911003,341105,
15911004,11512,
15911005,833018,399.0
15911007,1137972,
15911043,8606572,36207.0
15911044,8508995,174310.0
15911102,5227980,2369.0
15911103,5220107,2981.0
15911104,5869123,7567.0
15911106,4805726,1959.0
15911108,5842848,3473.0
15911109,151846,
15911110,6415777,212779.0
15911111,5506012,253475.0
15911699,181041,4914.0
15911701,522717,
15911702,226286,
15911703,278505,
15911720,592028,
15911750,1747568,
15911999,24348912,35594.0
15912000,331692641,
15912001,23029936,19412.0
15912005,16532410,28796.0
15912006,3039427,1529.0
15912041,6895835,20360.0
15912042,7040724,30813.0
15912044,8277045,17561.0
15912045,7150485,20318.0
15912101,5678495,101383.0
15912102,5267421,68862.0
15912103,5101636,77645.0
15912104,4340031,93517.0
15912105,5382716,136372.0
15912106,4762863,96668.0
15912107,5407099,80843.0
15912108,5804726,139782.0
15912109,5005879,1220.0
15912110,4541857,1759.0
15912111,5781688,85063.0
15912699,1928165,29650.0
15912701,624107,
15912702,27868,
15912703,25,
15912720,1438920,
15912750,4305623,
15912999,57119695,156143.0
15913000,49920303,
15913001,5675893,647.0
15913101,7477143,2868.0
15913699,24231,
15913701,300750,
15913702,68761,
15913750,562765,
15913999,4732210,1431.0
15914000,51982585,
15914001,9321259,1650.0
15914101,10938059,10998.0
15914701,603420,
15914702,16684,
15914750,514066,
15914751,2805967,
15914999,5925443,
15915000,2359399574,
15915001,35334449,4979.0
15915002,26935646,5949.0
15915003,30119860,8762.0
15915004,3347574,
15915005,24485694,11118.0
15915006,8570086,
15915007,24732846,2742.0
15915008,3286942,
15915011,936034,
15915013,10200861,
15915016,26962244,2053.0
15915019,23475861,4614.0
15915022,20944384,3286.0
15915023,26590678,8083.0
15915024,20002675,12939.0
15915025,22334754,3595.0
15915029,49734934,
15915035,11951,
15915041,13474270,11617.0
15915042,11536994,5647.0
15915043,12147477,24972.0
15915044,12348873,8501.0
15915045,9678959,14094.0
15915046,9782285,4031.0
15915047,9728815,4257.0
15915048,11233318,15529.0
15915049,9296031,4475.0
15915050,10966061,6484.0
15915051,10467689,9781.0
15915052,7584129,4601.0
15915053,9406077,10668.0
15915054,11715606,4537.0
15915055,9857277,6063.0
15915056,9250534,4605.0
15915057,10869986,5696.0
15915058,9829812,4244.0
15915059,10684238,3021.0
15915060,7632179,2388.0
15915062,1884336,97.0
15915064,34282651,
15915101,5567019,81575.0
15915102,5901256,50966.0
15915103,10142967,68871.0
15915104,4022662,
15915105,5378525,59217.0
15915106,5468449,66062.0
15915107,6720465,107826.0
