Campus Number,Bilingual Spending,Account Amount,2020 EL Denominator,2020 All Students Denominator,Percentage Bilingual Spending,2020 EL Pop Percent
15907153,12817.0,4197785.0,,,0.003053276906749631,
15907155,377678.0,4815375.0,,,0.07843169015912571,
15907157,40363.0,6188046.0,,,0.006522737549139099,
15907158,19203.0,4249446.0,,,0.004518941998556988,
15907160,12809.0,4196599.0,,,0.003052233487164249,
15907161,21542.0,5438694.0,,,0.003960877372398594,
15907162,,4463285.0,,,,
15907163,41179.0,4816808.0,,,0.008549022506190822,
15907164,193317.0,5639546.0,,,0.03427882315349498,
15907165,13557.0,3631339.0,,,0.003733333627072548,
15907166,,3032631.0,,,,
15907168,,6207005.0,,,,
15907169,5822.0,4472439.0,,,0.001301750566078151,
15907172,15713.0,3296331.0,,,0.004766814983082706,
15907174,24775.0,3729034.0,,,0.006643811775382043,
15907175,14093.0,5773476.0,,,0.0024409904882258106,
15907176,20971.0,4314262.0,,,0.004860854533173924,
15907177,,4217277.0,,,,
15907179,16279.0,5987981.0,,,0.002718612500607467,
15907182,,714431.0,8.0,76.0,,0.10526315789473684
15907184,,140007.0,,,,
15907195,,1774164.0,,,,
15907201,,154548.0,,,,
15907202,,239520.0,,,,
15907210,2327.0,4780510.0,,,0.00048676814816829165,
15907239,,731516.0,,,,
15907240,9897.0,5774642.0,,,0.0017138724790212102,
15907241,392863.0,6164805.0,,,0.0637267521032701,
15907242,4945.0,2967988.0,,,0.0016661118575951115,
15907244,3847.0,3409000.0,,,0.0011284834262246994,
15907245,2900.0,2753774.0,,,0.0010531002181006866,
15907246,1167.0,1194076.0,,,0.0009773247263993247,
15908001,9391.0,19409454.0,56.0,604.0,0.0004838363820022964,0.09271523178807947
15908006,,121226.0,,,,
15908041,4962.0,5021762.0,,,0.0009880993961880313,
15908042,5642.0,4585514.0,,,0.0012303964179370076,
15908044,5321.0,4652438.0,,,0.001143701431378559,
15908046,4587.0,2294036.0,,,0.0019995327013176776,
15908104,67240.0,3887939.0,,,0.017294510021890776,
15908105,,3212675.0,,,,
15908106,,3873739.0,,,,
15908107,75217.0,3732567.0,,,0.0201515471791933,
15908108,,3670811.0,,,,
15908109,112230.0,3873916.0,,,0.028970684960644474,
15908110,,2995776.0,,,,
15908112,,3082409.0,,,,
15908113,87100.0,4294709.0,,,0.020280768731944353,
15908115,53105.0,2422715.0,,,0.021919623232612997,
15909001,868.0,10610765.0,16.0,275.0,8.180371537773195e-05,0.05818181818181818
15909002,,,,,,
15909006,,882103.0,,20.0,,
15909041,,4834229.0,,,,
15909101,72352.0,4709402.0,,,0.015363309396819383,
15909103,110167.0,2758577.0,,,0.039936169989092205,
15909104,161153.0,4634089.0,,,0.03477555135432228,
15909105,65284.0,3937266.0,,,0.016581048880111224,
